sample_id,split,scenario_type,difficulty_bucket,subtype,category_bucket,parent_asin
tcsv1_dev_0033,dev,buying,easy,official_style,jewelry_bracelets,B09TT4CY77
tcsv1_dev_0034,dev,buying,easy,official_style,men_hats_headwear,B00IV5VZBE
tcsv1_dev_0035,dev,buying,easy,official_style,costumes_cosplay_apparel_tops,B0BD4LX4JX
tcsv1_dev_0036,dev,buying,easy,official_style,shoes_jewelry_fun_world_costumes,B0021K1VYQ
tcsv1_dev_0037,dev,intent_override,hard,official_style,lingerie_panties,B0BSCCZF9B
tcsv1_dev_0038,dev,browsing,medium,official_style,cummerbunds_pocket_squares_tie_sets,B07YJSKPPG
tcsv1_dev_0039,dev,browsing,medium,official_style,work_utility_safety_outerwear,B07BX7YYPC
tcsv1_dev_0040,dev,browsing,medium,official_style,backpacks_casual_daypacks,B00FW6EWA6
tcsv1_dev_0041,dev,buying,easy,official_style,women_bodystockings,B00K1DUVCI
tcsv1_dev_0042,dev,intent_override,hard,official_style,active_track_active_jackets,B00T08YHEI
tcsv1_dev_0043,dev,boundary,medium,official_style,shoes_fire_safety,B01K7Y5VNE
tcsv1_dev_0044,dev,buying,easy,official_style,necklaces_chokers,B06XYG999S
tcsv1_dev_0045,dev,browsing,medium,official_style,socks_hosiery_sheers,B08GC3WMDM
tcsv1_dev_0046,dev,intent_override,hard,official_style,jackets_coats_jackets,B08JBP2L1H
tcsv1_dev_0047,dev,buying,easy,official_style,boys_hoodies,B07F1VZ41H
tcsv1_dev_0048,dev,intent_override,hard,official_style,active_athletic_socks,B0B2RL9D4L
tcsv1_dev_0049,dev,browsing,medium,official_style,pants_dress,B07NLK8SFP
tcsv1_dev_0050,dev,browsing,medium,official_style,piercing_jewelry_rings,B0C3WTLWSC
tcsv1_dev_0051,dev,buying,easy,official_style,boots_knee_high,B0B2974SCS
tcsv1_dev_0052,dev,buying,easy,official_style,jackets_vests_leather_faux_leather,B07GCPV6ZD
tcsv1_dev_0053,dev,buying,easy,official_style,clutches_evening_bags_clutches,B07XFSF2TD
tcsv1_dev_0054,dev,buying,easy,official_style,sleep_lounge_tops,B0C8F4GZ43
tcsv1_dev_0055,dev,boundary,medium,official_style,scarves_wraps_wraps_pashminas,B009RT3FXY
tcsv1_dev_0056,dev,browsing,medium,official_style,underwear_undershirts,B00IKUZMYQ
tcsv1_dev_0057,dev,browsing,medium,official_style,bras_everyday_bras,B0921K77YH
tcsv1_dev_0058,dev,intent_override,hard,official_style,travel_accessories_shoe_bags,B09YLK9JZK
tcsv1_dev_0059,dev,browsing,medium,official_style,underwear_boxers,B09J256422
tcsv1_dev_0060,dev,buying,easy,official_style,shapewear_tops,B007XH5GX4
tcsv1_dev_0061,dev,boundary,medium,official_style,sweaters_pullover,B094V72PB1
tcsv1_dev_0062,dev,browsing,medium,official_style,active_active_sweatshirts,B08K8T7XG4
tcsv1_dev_0063,dev,buying,easy,official_style,cold_weather_gloves,B07VKJDN2R
tcsv1_dev_0064,dev,buying,easy,official_style,kids_watches_girls,B00659WWJW
tcsv1_dev_0065,dev,buying,easy,official_style,work_utility_shoes,B000FHEFJA
tcsv1_dev_0066,dev,buying,easy,official_style,watches_smartwatches,B07NY25VWC
tcsv1_dev_0067,dev,buying,easy,official_style,hats_caps_bomber_hats,B003TLO3BY
tcsv1_dev_0068,dev,browsing,medium,official_style,charms_clasp,B0186W5D7S
tcsv1_dev_0069,dev,browsing,medium,official_style,luggage_travel_gear_messenger_bags,B00G262SYW
tcsv1_dev_0070,dev,browsing,medium,official_style,athletic_sport_sandals_slides,B09HNLNQ89
tcsv1_dev_0071,dev,boundary,medium,official_style,watches_watch_bands,B08KWNWPRJ
tcsv1_dev_0072,dev,buying,easy,official_style,tankinis_tankini_sets,B07PG8JZFZ
tcsv1_dev_0073,dev,buying,easy,official_style,golf_women,B004669BRW
tcsv1_dev_0074,dev,intent_override,hard,official_style,team_sports_basketball,B09LJ44DBY
tcsv1_dev_0075,dev,browsing,medium,official_style,two_pieces_bikinis,B01GJIS5BM
tcsv1_dev_0076,dev,browsing,medium,official_style,shoes_jewelry_girls,B09DPNRYDL
tcsv1_dev_0077,dev,intent_override,hard,official_style,shoes_fashion_sneakers,B078H7WRJH
tcsv1_dev_0078,dev,browsing,medium,official_style,shorts_casual,B008UFQ2GS
tcsv1_dev_0079,dev,buying,easy,official_style,jackets_coats_leather_faux_leather,B01KW2M8GE
tcsv1_dev_0080,dev,intent_override,hard,official_style,jewelry_earrings,B00WQIWIK4
tcsv1_dev_0081,dev,browsing,medium,official_style,piercing_jewelry_studs,B01MRAUYNL
tcsv1_dev_0082,dev,browsing,medium,official_style,skirts_skorts_active_skirts,B07Y2T9S1D
tcsv1_dev_0083,dev,browsing,medium,official_style,shoes_jewelry_dresses_under_20,B082KB7S9K
tcsv1_dev_0084,dev,buying,easy,official_style,sets_tracksuits,B08X6XMJ3B
tcsv1_dev_0085,dev,buying,easy,official_style,women_jackets_coats,B00S5IRL2E
tcsv1_dev_0086,dev,buying,easy,official_style,keyrings_keychains_charms,B017YR570E
tcsv1_dev_0087,dev,intent_override,hard,official_style,scarves_wraps_fashion_scarves,B082YBX56Z
tcsv1_dev_0088,dev,buying,easy,official_style,jewelry_watch_accessories_shoe_care_accessories,B01CSJFO6U
tcsv1_dev_0089,dev,buying,easy,official_style,necklaces_collars,B07CH7KKZG
tcsv1_dev_0090,dev,browsing,medium,official_style,socks_calf_socks,B071WXXMDJ
tcsv1_dev_0091,dev,buying,easy,official_style,tees_shirts_tees,B0C15B8G8J
tcsv1_dev_0092,dev,buying,easy,official_style,active_shirts_tees_tank_tops,B098ST5KT1
tcsv1_dev_0093,dev,browsing,medium,official_style,sleep_lounge_lingerie,B072J6T3V6
tcsv1_dev_0094,dev,buying,easy,official_style,jewelry_boxes_organizers_jewelry_rolls,B00BFET5DI
tcsv1_dev_0095,dev,intent_override,hard,official_style,bottoms_pants,B099S3T6V8
tcsv1_dev_0096,dev,browsing,medium,official_style,shoe_care_treatments_dyes_shoe_care_kits,B09DHNFV4P
tcsv1_dev_0097,dev,buying,easy,official_style,men_shirts,B01EB24XLO
tcsv1_dev_0098,dev,browsing,medium,official_style,girls_costumes,B082H3PVF2
tcsv1_dev_0099,dev,browsing,medium,official_style,boys_masks,B099FF7ML2
tcsv1_dev_0100,dev,browsing,medium,official_style,athletic_golf,B0C66J6TCY
tcsv1_dev_0101,dev,browsing,medium,official_style,tees_blouses_tunics,B083K85VX7
tcsv1_dev_0102,dev,browsing,medium,official_style,cummerbunds_pocket_squares_tie_sets,B07F1M6R2J
tcsv1_dev_0103,dev,buying,easy,official_style,thermal_underwear_sets,B07GNVLBML
tcsv1_dev_0104,dev,intent_override,hard,official_style,dance_women,B073H282NX
tcsv1_dev_0105,dev,browsing,medium,official_style,active_dresses,B00PVQU7DI
tcsv1_dev_0106,dev,buying,easy,official_style,watches_pocket_watches,B09K3XZZHR
tcsv1_dev_0107,dev,browsing,medium,official_style,shoes_sneakers,B01BITEGX8
tcsv1_dev_0108,dev,browsing,medium,official_style,watch_accessories_repair_tools_kits,B07K5BGVZD
tcsv1_dev_0109,dev,browsing,medium,official_style,jewelry_watch_accessories_jewelry_accessories,B074L5LMMZ
tcsv1_dev_0110,dev,browsing,medium,official_style,jewelry_earrings,B081TJWH6Q
tcsv1_dev_0111,dev,browsing,medium,official_style,underwear_g_strings_thongs,B075L3833L
tcsv1_dev_0112,dev,browsing,medium,official_style,piercing_jewelry_tapers,B0B25LDZ13
tcsv1_dev_0113,dev,browsing,medium,official_style,shoes_jewelry_off_to_college,B00UJ3ZTV8
tcsv1_dev_0114,dev,browsing,medium,official_style,boys_jackets_coats,B01N6QBXUH
tcsv1_dev_0115,dev,intent_override,hard,official_style,tees_blouses_blouses_button_down_shirts,B09TT2677Z
tcsv1_dev_0116,dev,browsing,medium,official_style,thermal_underwear_bottoms,B00CBAOE22
tcsv1_dev_0117,dev,intent_override,hard,official_style,athletic_ballet_dance,B099QXP1WG
tcsv1_dev_0118,dev,browsing,medium,official_style,fashion_riding,B07XPFJ8K3
tcsv1_dev_0119,dev,buying,easy,official_style,athletic_dance,B07G29NF84
tcsv1_dev_0120,dev,buying,easy,official_style,coats_jackets_vests,B0C2ZBMR2L
tcsv1_dev_0121,dev,buying,easy,official_style,luggage_travel_gear_messenger_bags,B00E9VANNU
tcsv1_dev_0122,dev,browsing,medium,official_style,panties_boy_shorts,B010NJCLA4
tcsv1_dev_0123,dev,browsing,medium,official_style,shoe_care_accessories_shoelaces,B072N3PY41
tcsv1_dev_0124,dev,browsing,medium,official_style,men_jewelry,B00DEX5OWE
tcsv1_dev_0125,dev,buying,easy,official_style,swimsuits_cover_ups_rash_guard_shirts,B082G4RJ3C
tcsv1_dev_0126,dev,browsing,medium,official_style,handbags_wallets_totes,B08GZKPKPP
tcsv1_dev_0127,dev,buying,easy,official_style,boots_ankle_bootie,B000PEE1JW
tcsv1_dev_0128,dev,intent_override,hard,official_style,tees_blouses_tunics,B07DB4TVZH
tcsv1_dev_0129,dev,browsing,medium,official_style,active_leggings,B08L5KB7XY
tcsv1_dev_0130,dev,buying,easy,official_style,sleep_lounge_robes,B000ESC07Y
tcsv1_dev_0131,dev,boundary,medium,official_style,bottoms_pants,B00B2Q6ZPA
tcsv1_dev_0132,dev,buying,easy,official_style,bracelets_link,B0BYJLYLYH
tcsv1_dev_0133,dev,buying,easy,official_style,watch_accessories_repair_tools_kits,B071CZCR2L
tcsv1_dev_0134,dev,buying,easy,official_style,underwear_boxers,B00O82E6QA
tcsv1_dev_0135,dev,browsing,medium,official_style,piercing_jewelry_studs,B096Q5MRRD
tcsv1_dev_0136,dev,boundary,medium,official_style,accessories_special_occasion_accessories,B07R3WG255
tcsv1_dev_0137,dev,buying,easy,official_style,cricket_women,B09MQXM24Q
tcsv1_dev_0138,dev,intent_override,hard,official_style,accessories_sunglasses_eyewear,B01CPQKBKU
tcsv1_dev_0139,dev,intent_override,hard,official_style,athletic_walking,B09VYHYG5T
tcsv1_dev_0140,dev,browsing,medium,official_style,hats_caps_balaclavas,B00CQ5YGPM
tcsv1_dev_0141,dev,browsing,medium,official_style,girls_boots_clogs_mules,B0078ZJQFA
tcsv1_dev_0142,dev,browsing,medium,official_style,suiting_blazers_blazers,B0B8STVK2J
tcsv1_dev_0143,dev,buying,easy,official_style,work_utility_safety_pants,B09R13HXNF
tcsv1_dev_0144,dev,browsing,medium,official_style,jackets_vests_wool_pea_coats,B0BJDHJCL1
tcsv1_dev_0145,dev,buying,easy,official_style,kids_swimwear_boys_swimwear_3,B0897YWWWP
tcsv1_dev_0146,dev,browsing,medium,official_style,shoes_health_care_food_service,B0BZ7D6H2F
tcsv1_dev_0147,dev,intent_override,hard,official_style,jackets_coats_down_down_alternative,B09N8V6DWK
tcsv1_dev_0148,dev,browsing,medium,official_style,women_fashion,B001W6R5WW
tcsv1_dev_0149,dev,intent_override,hard,official_style,baby_boys_suits_sport_coats,B0764J56WJ
tcsv1_dev_0150,dev,intent_override,hard,official_style,necklaces_pendants_pendants,B07VB383FH
tcsv1_dev_0151,dev,buying,easy,official_style,shoes_jewelry_plus_size_fashion,B01MTLZLA1
tcsv1_dev_0152,dev,browsing,medium,official_style,costumes_cosplay_apparel_bottoms,B07QC959TG
tcsv1_dev_0153,dev,buying,easy,official_style,earrings_clip_ons,B07CH8W82Z
tcsv1_dev_0154,dev,buying,easy,official_style,karate_sets,B00GII1G5G
tcsv1_dev_0155,dev,buying,easy,official_style,necklaces_strands,B07Q2Z2FH3
tcsv1_dev_0156,dev,buying,easy,official_style,jackets_coats_wool_blends,B07VXRM23G
tcsv1_dev_0157,dev,browsing,medium,official_style,accessories_keyrings_keychains,B01HX0F4XC
tcsv1_dev_0158,dev,intent_override,hard,official_style,sunglasses_eyewear_accessories_eyeglass_cases,B00TG1HAA2
tcsv1_dev_0159,dev,buying,easy,official_style,props_weapons_armor,B006MRND4U
tcsv1_dev_0160,dev,buying,easy,official_style,luggage_travel_gear_travel_totes,B012BQLQ0I
tcsv1_dev_0161,dev,buying,easy,official_style,luggage_travel_gear_travel_duffels,B07JWHB9SP
tcsv1_dev_0162,dev,browsing,medium,official_style,active_active_pants,B0C52NLMM7
tcsv1_dev_0163,dev,boundary,medium,official_style,handbags_shoulder_bags_totes,B06XCL53C7
tcsv1_dev_0164,dev,intent_override,hard,official_style,charms_bead,B09KN59DQN
tcsv1_dev_0165,dev,browsing,medium,official_style,shoes_jewelry_editors_picks_work_bags,B078NFHHWF
tcsv1_dev_0166,dev,browsing,medium,official_style,accessories_breast_petals,B09ZKCPWVJ
tcsv1_dev_0167,dev,browsing,medium,official_style,hiking_outdoor_recreation_women,B07LBLDNGT
tcsv1_dev_0168,dev,browsing,medium,official_style,shoes_jewelry_boys,B08YYFLNX3
tcsv1_dev_0169,dev,browsing,medium,official_style,shoes_jewelry_men_s_off_to_college_essentials,B07DB3PKL5
tcsv1_dev_0170,dev,browsing,medium,official_style,accessories_special_occasion_accessories,B00EEOW0O2
tcsv1_dev_0171,dev,buying,easy,official_style,women_jewelry,B07BZ4N14F
tcsv1_dev_0172,dev,buying,easy,official_style,sport_specific_clothing_cycling,B09MZYLG8Z
tcsv1_dev_0173,dev,buying,easy,official_style,team_sports_softball_baseball,B074WDW4FF
tcsv1_dev_0174,dev,buying,easy,official_style,necklaces_chains,B004XZWGLY
tcsv1_dev_0175,dev,buying,easy,official_style,dresses_club_night_out,B07QR2K1KZ
tcsv1_dev_0176,dev,browsing,medium,official_style,active_active_shorts,B00307I1QA
tcsv1_dev_0177,dev,buying,easy,official_style,unisex_baby_clothing_accessories,B01MZ1YKJ8
tcsv1_dev_0178,dev,browsing,medium,official_style,socks_hosiery_socks,B00DY7UFOC
tcsv1_dev_0179,dev,boundary,medium,official_style,accessories_belt_buckles,B07R2NFV9M
tcsv1_dev_0180,dev,browsing,medium,official_style,pendants_coins_pendants_only,B00CBXIESY
tcsv1_dev_0181,dev,intent_override,hard,official_style,scarves_wraps_cold_weather_scarves_wraps,B088NYX96X
tcsv1_dev_0182,dev,browsing,medium,official_style,sweaters_pullovers,B07XYF9YBC
tcsv1_dev_0183,dev,buying,easy,official_style,sunglasses_eyewear_accessories_replacement_sunglass_lenses,B00QT1MBKQ
tcsv1_dev_0184,dev,intent_override,hard,official_style,shoes_flats,B07CZ4YMFC
tcsv1_dev_0185,dev,browsing,medium,official_style,shoes_jewelry_roxy_clothing_accessories,B00E5RF2CU
tcsv1_dev_0186,dev,intent_override,hard,official_style,jackets_vests_vests,B0BNX81Q4B
tcsv1_dev_0187,dev,intent_override,hard,official_style,men_shoes,B002PSNING
tcsv1_dev_0188,dev,browsing,medium,official_style,shoes_jewelry_top_50_by_product_type,B06XXSCBK3
tcsv1_dev_0189,dev,buying,easy,official_style,accessories_tights,B0094FTQC0
tcsv1_dev_0190,dev,intent_override,hard,official_style,cold_weather_gloves,B08ND1N1RL
tcsv1_dev_0191,dev,buying,easy,official_style,girls_hoodies,B07WL87Q5Z
tcsv1_dev_0192,dev,browsing,medium,official_style,shirts_t_shirts,B01LYFGCBL
tcsv1_dev_0193,dev,browsing,medium,official_style,shoes_jewelry_prime_day_30_off_select_fashion,B07BCQZDBX
tcsv1_dev_0194,dev,buying,easy,official_style,women_skirts,B09FQ7CPPP
tcsv1_dev_0195,dev,buying,easy,official_style,necklaces_lockets,B089GXTWH4
tcsv1_dev_0196,dev,buying,easy,official_style,lightweight_jackets_windbreakers,B07896221P
tcsv1_dev_0197,dev,browsing,medium,official_style,luggage_garment_bags,B0B5R617BF
tcsv1_dev_0198,dev,buying,easy,official_style,jackets_vests_leather_faux_leather,B07W6LCDNV
tcsv1_dev_0199,dev,browsing,medium,official_style,charms_bead,B001E1XMRM
tcsv1_dev_0200,dev,browsing,medium,official_style,tankinis_tankini_sets,B0195NHX9I
tcsv1_core_0001,core,buying,easy,official_style,fashion_motorcycle,B09JDWH2NG
tcsv1_core_0002,core,buying,easy,official_style,jackets_vests_quilted_lightweight_jackets,B09JJSKLHN
tcsv1_core_0003,core,intent_override,hard,official_style,shoes_jewelry_business_pricing_quantity_discounts,B097VR75DH
tcsv1_core_0004,core,buying,easy,official_style,women_teddies_bodysuits,B09WRG228J
tcsv1_core_0005,core,buying,easy,official_style,underwear_training_bras,B08LQ2F2VW
tcsv1_core_0006,core,intent_override,hard,official_style,men_jeans,B008ROHYOQ
tcsv1_core_0007,core,browsing,medium,official_style,work_utility_industrial_construction_boots,B09K5V6P6Z
tcsv1_core_0008,core,boundary,medium,official_style,rings_statement,B09HHHXFWL
tcsv1_core_0009,core,browsing,medium,official_style,rompers_overalls_overalls,B097XPQYL1
tcsv1_core_0010,core,browsing,medium,official_style,men_shoes,B01015R3GM
tcsv1_core_0011,core,browsing,medium,official_style,sleep_lounge_bottoms,B09KNC479P
tcsv1_core_0012,core,boundary,medium,official_style,dresses_casual,B07FZ6VCJR
tcsv1_core_0013,core,browsing,medium,official_style,fashion_western,B00E829WGY
tcsv1_core_0014,core,boundary,medium,official_style,sweaters_pullovers,B09P8J9TQ5
tcsv1_core_0015,core,buying,easy,official_style,boys_socks,B00HB12NO2
tcsv1_core_0016,core,buying,easy,official_style,clothing_sets_pant_sets,B07JYMMBMS
tcsv1_core_0017,core,buying,easy,official_style,hats_caps_berets,B094XPRZWN
tcsv1_core_0018,core,buying,easy,official_style,cricket_men,B0BDFQ6RN8
tcsv1_core_0019,core,buying,easy,official_style,footies_rompers_rompers,B07P9MD37J
tcsv1_core_0020,core,buying,easy,official_style,pants_shorts_bib_shorts,B01NAJLQ8R
tcsv1_core_0021,core,browsing,medium,official_style,bloomers_diaper_covers_underwear,B07KY1HXWH
tcsv1_core_0022,core,browsing,medium,official_style,lightweight_jackets_cotton,B00BV2OFSY
tcsv1_core_0023,core,browsing,medium,official_style,costumes_cosplay_apparel_leg_warmers_hosiery,B000GIYBIS
tcsv1_core_0024,core,browsing,medium,official_style,active_sweaters,B018IW7J32
tcsv1_core_0025,core,buying,easy,official_style,accessories_belt_buckles,B00GJ4834G
tcsv1_core_0026,core,buying,easy,official_style,sleep_lounge_nightgowns_sleepshirts,B07CKM8QVQ
tcsv1_core_0027,core,buying,easy,official_style,girls_fashion,B004UMIJ52
tcsv1_core_0028,core,buying,easy,official_style,athletic_tennis_racquet_sports,B0B1RYZWQV
tcsv1_core_0029,core,browsing,medium,official_style,earrings_stud,B08977XFWQ
tcsv1_core_0030,core,browsing,medium,official_style,scarves_wraps_fashion_scarves,B00GNBLIRY
tcsv1_core_0031,core,browsing,medium,official_style,necklaces_pearl_strands,B00BF6EULI
tcsv1_core_0032,core,browsing,medium,official_style,sandals_platforms_wedges,B0B4GKPQFX
tcsv1_core_0033,core,browsing,medium,official_style,shorts_flat_front,B00KI0R37U
tcsv1_core_0034,core,browsing,medium,official_style,sleepwear_robes_pajama_bottoms,B0CD66PDVB
tcsv1_core_0035,core,browsing,medium,official_style,rompers_overalls_rompers,B0BLNQNZCY
tcsv1_core_0036,core,browsing,medium,official_style,work_utility_safety_tops,B01N5FFME1
tcsv1_core_0037,core,buying,easy,official_style,wallets_money_organizers_wallets,B076Q8Q21R
tcsv1_core_0038,core,browsing,medium,official_style,men_gloves,B08CVGSN53
tcsv1_core_0039,core,buying,easy,official_style,underwear_trunks,B0C5ZLZX8W
tcsv1_core_0040,core,boundary,medium,official_style,shoes_jewelry_business_pricing_quantity_discounts,B09C61JX5P
tcsv1_core_0041,core,boundary,medium,official_style,sandals_flip_flops,B0BGQM32SR
tcsv1_core_0042,core,buying,easy,official_style,athletic_fitness_cross_training,B084PP59C9
tcsv1_core_0043,core,boundary,medium,official_style,luggage_travel_gear_backpacks,B01F8YAJBC
tcsv1_core_0044,core,browsing,medium,official_style,jewelry_cuff_links,B00NOZ6K02
tcsv1_core_0045,core,buying,easy,official_style,hiking_trekking_hiking_shoes,B093HL2JXF
tcsv1_core_0046,core,buying,easy,official_style,skirts_skorts_skorts,B0173TJ4SY
tcsv1_core_0047,core,browsing,medium,official_style,outdoor_work_work_safety,B07BN2KXKM
tcsv1_core_0048,core,intent_override,hard,official_style,cummerbunds_pocket_squares_cravats,B07ZRBSDQJ
tcsv1_core_0049,core,buying,easy,official_style,military_tops,B075JQRCTJ
tcsv1_core_0050,core,browsing,medium,official_style,bracelets_wrap,B07BNKGPCP
tcsv1_core_0051,core,browsing,medium,official_style,charms_charm_bracelets_charms,B00BTJ6WQW
tcsv1_core_0052,core,intent_override,hard,official_style,outdoor_work_rain,B099K1QT8L
tcsv1_core_0053,core,browsing,medium,official_style,shoes_jewelry_girls,B07ZK3QN4X
tcsv1_core_0054,core,intent_override,hard,official_style,shoe_care_accessories_shoelaces,B00L5HTFQC
tcsv1_core_0055,core,buying,easy,official_style,women_leggings,B0BHNTWFS7
tcsv1_core_0056,core,intent_override,hard,official_style,men_boxers,B0748DGM37
tcsv1_core_0057,core,intent_override,hard,official_style,hiking_trekking_hiking_shoes,B00KWKE9PK
tcsv1_core_0058,core,buying,easy,official_style,fashion_riding,B014KWHYYI
tcsv1_core_0059,core,buying,easy,official_style,athletic_running,B00HO2LH3G
tcsv1_core_0060,core,intent_override,hard,official_style,shoes_jewelry_green_lit_197,B01EFTRC5C
tcsv1_core_0061,core,buying,easy,official_style,tops_tees_t_shirts,B075SG4BBJ
tcsv1_core_0062,core,intent_override,hard,official_style,boys_pants,B0BYYCBKD8
tcsv1_core_0063,core,browsing,medium,official_style,jewelry_brooches_pins,B002ERMVQS
tcsv1_core_0064,core,buying,easy,official_style,tankinis_sets,B07FY97Q8N
tcsv1_core_0065,core,intent_override,hard,official_style,sunglasses_eyewear_accessories_sunglasses,B078JLWPW1
tcsv1_core_0066,core,browsing,medium,official_style,jackets_coats_trench_rain,B094XT3BSP
tcsv1_core_0067,core,browsing,medium,official_style,boys_overalls,B085N6XMLH
tcsv1_core_0068,core,browsing,medium,official_style,kids_shoes_union_boys_oxfords_sandals,B0C64Q26Z6
tcsv1_core_0069,core,intent_override,hard,official_style,gloves_mittens_gloves,B071RY43WM
tcsv1_core_0070,core,buying,easy,official_style,rings_bands,B0BM61YGYB
tcsv1_core_0071,core,intent_override,hard,official_style,sunglasses_eyewear_accessories_sunglasses,B0971L2XLD
tcsv1_core_0072,core,buying,easy,official_style,handbags_shoulder_bags_cross_body_sling_bags,B07YPBMVKG
tcsv1_core_0073,core,browsing,medium,official_style,active_active_underwear,B003C2YUK4
tcsv1_core_0074,core,browsing,medium,official_style,handbags_wallets_hobo_bags,B0BL82PQLM
tcsv1_core_0075,core,intent_override,hard,official_style,underwear_training_bras,B0852GN9VF
tcsv1_core_0076,core,buying,easy,official_style,sandals_slides,B008PN7XXQ
tcsv1_core_0077,core,intent_override,hard,official_style,two_pieces_bikinis,B07N1NK41H
tcsv1_core_0078,core,browsing,medium,official_style,active_pants_sweatpants,B0721RHCV4
tcsv1_core_0079,core,buying,easy,official_style,sleepwear_robes_pajama_sets,B01FKMG37Q
tcsv1_core_0080,core,buying,easy,official_style,work_utility_safety_pants,B09QWTPG18
tcsv1_core_0081,core,browsing,medium,official_style,sets_tracksuits,B0B59JPGBZ
tcsv1_core_0082,core,buying,easy,official_style,sweaters_cardigan,B002C4FE2Q
tcsv1_core_0083,core,buying,easy,official_style,tees_blouses_t_shirts,B08415J162
tcsv1_core_0084,core,browsing,medium,official_style,shirts_polos,B0CDSLJJ39
tcsv1_core_0085,core,intent_override,hard,official_style,pants_shorts_shorts,B00I3JKNUW
tcsv1_core_0086,core,browsing,medium,official_style,piercing_jewelry_tunnels,B09JSHYK65
tcsv1_core_0087,core,boundary,medium,official_style,dresses_cocktail,B083BNZFSX
tcsv1_core_0088,core,buying,easy,official_style,shoes_jewelry_women_s_halloween_costumes,B07DQMXBZ2
tcsv1_core_0089,core,buying,easy,official_style,suits_sport_coats_suits,B07Z9GFPSZ
tcsv1_core_0090,core,buying,easy,official_style,coats_jackets_vests,B075MWT5KG
tcsv1_core_0091,core,browsing,medium,official_style,bracelets_link,B0BQB3DDX5
tcsv1_core_0092,core,intent_override,hard,official_style,hats_caps_cowboy_hats,B08KWP37Z4
tcsv1_core_0093,core,buying,easy,official_style,shoes_jewelry_prime_wardrobe_under_armour,B019D6GL22
tcsv1_core_0094,core,buying,easy,official_style,earrings_ball,B017C06E0K
tcsv1_core_0095,core,buying,easy,official_style,tees_blouses_vests,B07FK3L299
tcsv1_core_0096,core,buying,easy,official_style,athletic_ballet_dance,B09TXHWXNR
tcsv1_core_0097,core,intent_override,hard,official_style,boots_ankle_bootie,B09C3R7RYP
tcsv1_core_0098,core,buying,easy,official_style,men_jackets_coats,B0BQ2V3CWG
tcsv1_core_0099,core,browsing,medium,official_style,active_track_active_jackets,B008FYAO86
